Dr.P.Manikandan,Associate Professor & Head,https://sites.google.com/a/kongu.edu/manikandan-p-chemistry/
Dr.P.N.Palanisamy,Professor,https://sites.google.com/a/kongu.edu/dr-p-n-palanisamy-chemistry/
Dr.A.Geetha,Associate Professor ,https://sites.google.com/a/kongu.edu/a-geetha-chemistry/
Dr.K. Manjula Rani,Associate Professor,https://sites.google.com/a/kongu.edu/chemistry-kmr/
Dr.P.Srinivasan,Assistant Professor (Sr.G),https://sites.google.com/a/kongu.edu/srinivasan-chemistry/
Dr.V.N.Kowshalya,Assistant Professor (Sr.G),https://sites.google.com/a/kongu.edu/kowshalya-chemistry/
Dr.M.Karthikeyan,Assistant Professor (Sr.G),https://sites.google.com/a/kongu.edu/dr-m-karthikeyan/
Dr.C.Balraj,Assistant Professor (Sr.G),https://sites.google.com/a/kongu.edu/balraj-chemistry/
Dr. S.Sathishkumar,Assistant Professor (Sr.G),https://sites.google.com/a/kongu.edu/sathishkumar-s-chemistry/
Dr.S.Nirmaladevi,Assistant Professor,https://sites.google.com/a/kongu.edu/nirmaladevi-s/
K.Krishnaveni,Assistant Professor,https://sites.google.com/a/kongu.edu/k-krishnaveni-chemistry/
Dr.R.Tamilisai,Assistant Professor,https://sites.google.com/a/kongu.edu/r-tamilisai/
Dr.A.Revathi,Assistant Professor,https://sites.google.com/a/kongu.edu/revathi-a/
K.Prabhakaran,Assistant Professor,https://sites.google.com/a/kongu.edu/prabhakaran-chemistry/
K.Yoghananthan,Assistant Professor,https://sites.google.com/a/kongu.edu/k-yoghananthan-chemistry/
Dr.P.Krishnamoorthy,Assistant Professor,https://sites.google.com/a/kongu.edu/dr-krishnamoorthy-p/
